rank,kanji,count,on_readings,kun_readings,nanori,meanings_en
684,慣,1659953,,,,
685,温,1657954,,,,
686,衣,1656260,,,,
687,布,1654371,,,,
688,了,1653457,,,,
689,迎,1649579,,,,
690,捨,1645503,,,,
691,撫,1641320,,,,
692,百,1638962,,,,
693,減,1629760,,,,
694,従,1626750,,,,
695,個,1626599,,,,
696,貰,1622833,,,,
697,証,1621651,,,,
698,基,1619357,,,,
699,極,1617164,,,,
700,羽,1616461,,,,
701,毎,1616043,,,,
702,綺,1614181,,,,
703,登,1613893,,,,
704,司,1611171,,,,
705,造,1607484,,,,
706,院,1607110,,,,
707,超,1607079,,,,
708,酒,1606158,,,,
709,産,1601458,,,,
710,非,1599458,,,,
711,値,1594576,,,,
712,折,1593345,,,,
713,既,1591056,,,,
714,昼,1589258,,,,
715,帯,1586237,,,,
716,替,1583994,,,,
717,爆,1575623,,,,
718,船,1573454,,,,
719,弟,1571688,,,,
720,闇,1569950,,,,
721,織,1568603,,,,
722,除,1565790,,,,
723,慌,1564681,,,,
724,桃,1562247,,,,
725,里,1559422,,,,
726,希,1558787,,,,
727,敷,1558034,,,,
728,井,1556700,,,,
729,市,1555931,,,,
730,圧,1553206,,,,
731,旅,1547621,,,,
732,毛,1546208,,,,
733,犯,1546014,,,,
734,刻,1545489,,,,
735,猫,1541009,,,,
736,乳,1540862,,,,
737,改,1538503,,,,
738,将,1537595,,,,
739,藤,1534983,,,,
740,局,1534525,,,,
741,密,1529298,,,,
742,島,1527603,,,,
743,比,1525520,,,,
744,陣,1523790,,,,
745,嘘,1519580,,,,
746,派,1519165,,,,
747,東,1514272,,,,
748,飯,1512758,,,,
749,崩,1507959,,,,
750,抗,1502861,,,,
751,矢,1496712,,,,
752,唇,1492373,,,,
753,昔,1490672,,,,
754,救,1487585,,,,
755,捕,1483411,,,,
756,照,1479371,,,,
757,材,1478818,,,,
758,春,1472259,,,,
759,舌,1471181,,,,
760,龍,1466709,,,,
761,古,1461770,,,,
762,繰,1458281,,,,
763,誘,1457973,,,,
764,修,1453834,,,,
765,銀,1437676,,,,
766,雑,1434556,,,,
767,夕,1429271,,,,
768,妙,1428451,,,,
769,適,1427731,,,,
770,八,1427457,,,,
771,己,1424950,,,,
772,争,1421940,,,,
773,威,1412068,,,,
774,狙,1408829,,,,
775,末,1408024,,,,
776,騒,1399913,,,,
777,底,1399678,,,,
778,秘,1397144,,,,
779,紅,1396716,,,,
780,否,1396191,,,,
781,扱,1390632,,,,
782,雨,1389083,,,,
783,窓,1383602,,,,
784,工,1380021,,,,
785,締,1378616,,,,
786,奪,1378298,,,,
787,脳,1378056,,,,
788,被,1376680,,,,
789,穴,1370543,,,,
790,呆,1367038,,,,
791,銃,1366050,,,,
792,晴,1363727,,,,
793,老,1363027,,,,
794,純,1358532,,,,
795,鼻,1355864,,,,
796,慢,1355214,,,,
797,妖,1354384,,,,
798,北,1353716,,,,
799,操,1347203,,,,
800,皇,1346518,,,,
801,洗,1337229,,,,
802,繋,1335259,,,,
803,働,1329944,,,,
804,独,1329037,,,,
805,床,1328485,,,,
806,印,1323255,,,,
807,玉,1317734,,,,
808,境,1317690,,,,
809,系,1315158,,,,
810,尽,1312468,,,,
811,裕,1312386,,,,
812,耐,1306357,,,,
813,留,1305475,,,,
814,提,1289411,,,,
815,戸,1287946,,,,
816,波,1287676,,,,
817,暮,1284974,,,,
818,跡,1283770,,,,
819,悟,1283201,,,,
820,権,1278380,,,,
821,尋,1270534,,,,
822,呪,1270278,,,,
823,衝,1268412,,,,
824,枚,1267219,,,,
825,陰,1266406,,,,
826,緊,1260648,,,,
827,拳,1260086,,,,
828,迫,1259951,,,,
829,荒,1258904,,,,
830,七,1253826,,,,
831,堂,1251085,,,,
832,菜,1250228,,,,
833,鳥,1250184,,,,
834,鉄,1238547,,,,
835,佐,1236510,,,,
836,西,1234390,,,,
837,傾,1233006,,,,
838,酷,1227444,,,,
839,漏,1225705,,,,
840,肌,1223074,,,,
841,敗,1219930,,,,
842,六,1218587,,,,
843,授,1216333,,,,
844,研,1216230,,,,
845,輪,1209156,,,,
